,model_num,dataset,model_name,vae_beta,factor_vae_gamma,dip_vae_lambda_d_factor,dip_vae_lambda_od,beta_tc_vae_beta,annealed_vae_c_max,model_random_seed,elbo,kl_loss,loss,reconstruction_loss,regularizer,beta_vae_train_accuracy,beta_vae_eval_accuracy,factor_vae_train_accuracy,factor_vae_eval_accuracy,dci_informativeness_train,dci_informativeness_test,dci_disentanglement,dci_completeness,mig_discrete_mig,sap_score,modularity_score,modularity_explicitness_score_train,modularity_explicitness_score_test
896,6296,'scream_dsprites','dip_vae_i',,,10.0,50.0,,,46,-7579.7548828125,32.6752548218,7681.150390625,7547.076171875,134.0777130127,0.6197,0.6032000000000001,0.46580000000000005,0.45680000000000004,0.6335400000000001,0.27712000000000003,0.057925555600000005,0.1413703719,0.0335385578,0.0066,0.7523096725,0.6823997452,0.6634486954000001
897,6297,'scream_dsprites','dip_vae_i',,,10.0,50.0,,,47,-7576.384765625,32.2216072083,7678.0131835938,7544.1640625,133.8472747803,0.5886,0.5622,0.46290000000000003,0.45320000000000005,0.6217400000000001,0.23720000000000002,0.0456333846,0.1033459771,0.0181378173,0.00368,0.7607283878000001,0.6816743524000001,0.6637992616
898,6298,'scream_dsprites','dip_vae_i',,,10.0,50.0,,,48,-7584.20703125,32.6181602478,7687.7592773438,7551.5971679688,136.1633911133,0.5977,0.5766,0.43920000000000003,0.4298,0.62716,0.24304,0.0441859176,0.0979551906,0.008380463500000001,0.0051600000000000005,0.7917817376,0.6860721278,0.6673077061
899,6299,'scream_dsprites','dip_vae_i',,,10.0,50.0,,,49,-7576.9580078125,32.9940223694,7678.908203125,7543.9653320312,134.941619873,0.625,0.6094,0.5109,0.507,0.6293200000000001,0.26076000000000005,0.0754007886,0.1249878457,0.0123396582,0.007,0.7998469848,0.6919117921,0.6733888141000001
900,6300,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,0,-7557.2060546875,27.6573467255,7558.6704101562,7529.5478515625,29.111738205,0.6643,0.6528,0.5612,0.5596,0.6430800000000001,0.23252000000000003,0.0471688339,0.1037176185,0.061371718500000005,0.024480000000000002,0.716897463,0.7041560910000001,0.6865242485
901,6301,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,1,-7551.3618164062,28.3179950714,7552.8134765625,7523.0400390625,29.7731666565,0.6454000000000001,0.6312,0.5392,0.5396000000000001,0.6376200000000001,0.21488000000000002,0.05576785,0.0680101738,0.0398620478,0.01484,0.8313915441,0.7029686248,0.6854194721
902,6302,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,2,-7554.119140625,27.8801879883,7555.552734375,7526.23828125,29.3153953552,0.6992,0.6944,0.5873,0.593,0.6479400000000001,0.27404,0.0893735462,0.1889995716,0.0859892356,0.03568,0.7360330006,0.7053587653000001,0.6881220788
903,6303,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,3,-7552.4580078125,28.331445694,7553.8891601562,7524.1337890625,29.7523059845,0.5917,0.5858,0.4566,0.45220000000000005,0.6393800000000001,0.21664000000000003,0.0341308522,0.0714022663,0.0100988633,0.0056,0.7709585607,0.7065980293,0.6895119228000001
904,6304,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,4,-7553.9169921875,27.8610286713,7555.3491210938,7526.05859375,29.2951278687,0.612,0.5972000000000001,0.5149,0.5086,0.6428400000000001,0.22552000000000003,0.0329070911,0.0753686242,0.0216173225,0.00924,0.7493675651,0.7025592885,0.6850181823
905,6305,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,5,-7552.482421875,27.9765052795,7553.912109375,7524.5141601562,29.4015483856,0.5919,0.5858,0.5047,0.5036,0.6399400000000001,0.21544000000000002,0.0265131899,0.056082499200000004,0.0218239157,0.006200000000000001,0.7694331357,0.7035160652,0.6858531013
906,6306,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,6,-7552.0688476562,28.0376186371,7553.5083007812,7524.0302734375,29.4721317291,0.6406000000000001,0.6296,0.5565,0.5574,0.6470800000000001,0.23028,0.046435284,0.0783956719,0.056954382500000005,0.01352,0.7544232448,0.7080988842,0.6907838946
907,6307,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,7,-7555.56640625,28.2442245483,7557.0107421875,7527.3266601562,29.6862430573,0.6587000000000001,0.653,0.5741,0.5684,0.6384200000000001,0.21968000000000001,0.0489665382,0.0824522743,0.0476521736,0.011040000000000001,0.7310604361,0.7090054112,0.6920074808000001
908,6308,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,8,-7556.5439453125,27.8731327057,7557.9790039062,7528.6640625,29.3060417175,0.6712,0.6556000000000001,0.5692,0.5574,0.6418400000000001,0.25032000000000004,0.08169999700000001,0.1357831682,0.0872459629,0.023360000000000002,0.7881866426,0.7052639088,0.6874090243000001
909,6309,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,9,-7549.3168945312,28.2801456451,7550.759765625,7521.033203125,29.7246723175,0.4867,0.47300000000000003,0.3326,0.33240000000000003,0.6450600000000001,0.21896000000000002,0.022866059100000002,0.0546587595,0.0096839521,0.00888,0.7382872853,0.7057678435,0.6882763350000001
910,6310,'scream_dsprites','dip_vae_ii',,,1.0,1.0,,,10,-7558.6284179688,28.2431087494,7560.0874023438,7530.3940429688,29.6931972504,0.5842,0.5718,0.45880000000000004,0.4612,0.64192,0.21760000000000002,0.0283916445,0.0576919053,0.0243490053,0.013760000000000001,0.7609090605000001,0.7059334759,0.6882061327
