,model_num,dataset,model_name,vae_beta,factor_vae_gamma,dip_vae_lambda_d_factor,dip_vae_lambda_od,beta_tc_vae_beta,beta_tc_vae_c_max,model_random_seed,elbo,kl_loss,loss,reconstruction_loss,regularizer,beta_vae_train_accuracy,beta_vae_eval_accuracy,factor_vae_train_accuracy,factor_vae_eval_accuracy,dci_informativeness_train,dci_informativeness_test,dci_disentanglement,dci_completeness,mig_discrete_mig,sap_score,modularity_score,modularity_explicitness_score_train,modularity_explicitness_score_test
10,9500-9549,'cars3d','factor_vae',,50.0,,,,,0-49,,27.530590782158,1560.5736669921905,1508.739956054688,51.83362091064399,0.999992,0.999996,0.9168559999999998,0.91722,0.8181913333340001,0.6397826666699999,0.260026251306,0.228824658612,0.102667757396,0.019561333326,0.9382884112660002,0.8872093429719999,0.8822023206700002
11,9550-9599,'cars3d','factor_vae',,100.0,,,,,0-49,,345496.8206190491,-344043.2025073242,1542.3854638671976,-345585.03111349104,0.999384,0.99938,0.9108480000000001,0.910064,0.817324666664,0.6261759999979999,0.24285193275800002,0.20993803671000003,0.102270860482,0.019753333322,0.9295589315080001,0.8882791383699999,0.883389670088
12,9600-9649,'cars3d','dip_vae_i',,,10.0,1.0,,,0-49,-1442.9477124023417,30.928101043702,1446.6727197265616,1412.019445800782,34.653226089482004,0.999984,0.9999760000000001,0.839188,0.8377800000000001,0.8684699999920003,0.6773026666620001,0.17307464406,0.107479023916,0.048088963776,0.013585333334000003,0.8482872728,0.9181985401760001,0.9156449002639999
13,9650-9699,'cars3d','dip_vae_i',,,10.0,2.0,,,0-49,-1443.732622070312,30.938106765743996,1450.5104394531281,1412.794362792968,37.715832061760004,0.999992,0.999984,0.854338,0.8543080000000001,0.8649533333400001,0.6758066666680002,0.190075798044,0.115901790802,0.049945493274,0.014887999995999998,0.8610854386560001,0.9173396602060001,0.914700751486
14,9700-9749,'cars3d','dip_vae_i',,,10.0,5.0,,,0-49,-1445.1306713867143,31.034004631045995,1459.9968896484381,1414.09696533203,45.900426483154,0.9999979999999999,1.0,0.8856800000000001,0.8823799999999999,0.806032666672,0.651785333336,0.22633166943200003,0.134770061086,0.05926211018,0.018390666666,0.8583099507520001,0.91489218818,0.9116843164320001
15,9750-9799,'cars3d','dip_vae_i',,,10.0,10.0,,,0-49,-1447.9017675781204,31.205247955318,1475.132102050778,1416.6966284179723,58.43555038452401,0.9999979999999999,1.0,0.890578,0.88764,0.8099873333340001,0.65393466667,0.224764745826,0.134193194814,0.05391874134999999,0.017122666664000002,0.8544053769560002,0.912635493598,0.90888372657
16,9800-9849,'cars3d','dip_vae_i',,,10.0,20.0,,,0-49,-1453.7251879882779,31.632152290345992,1503.8261083984357,1422.0929296874942,81.733322448736,0.9999979999999999,0.999996,0.8974520000000002,0.8945399999999999,0.8151066666660001,0.6509586666700001,0.212994566746,0.12902573344,0.058358247436,0.017543999996,0.8431467528760002,0.910937167078,0.9065744572660001
17,9850-9899,'cars3d','dip_vae_i',,,10.0,50.0,,,0-49,-1466.0050903320298,32.360840644835996,1578.9777758788978,1433.644223632814,145.333547668456,0.9999899999999999,0.999988,0.9075600000000001,0.9050120000000001,0.8549646666680002,0.6645226666660001,0.19537708476600002,0.123823801478,0.057811350582,0.018650666666,0.8318382375919999,0.907587741708,0.90246736392
18,9900-9949,'cars3d','dip_vae_ii',,,1.0,1.0,,,0-49,-1443.687673339844,30.502666397098004,1445.2017651367198,1413.1850097656359,32.016624984746,0.999948,0.9999360000000002,0.8248720000000002,0.8221799999999999,0.8543780000000001,0.666901333336,0.16167566533600003,0.109764686426,0.046890189093999994,0.01136133333,0.866008946092,0.9182335281180001,0.9159581778160001
19,9950-9999,'cars3d','dip_vae_ii',,,1.0,2.0,,,0-49,-1443.412011718754,30.339196052549998,1446.240434570318,1413.0727246093777,33.16779045105,0.9999600000000001,0.9999680000000001,0.841206,0.8388,0.8363573333279999,0.658452000002,0.17315625224800002,0.11498929604800001,0.045599976202,0.013324,0.8614690473500001,0.9173040398800001,0.9147746159419999
20,10000-10049,'cars3d','dip_vae_ii',,,1.0,5.0,,,0-49,-1443.8030957031262,28.6621094513,1449.572956542966,1415.1410937499923,34.432099456786,0.999958,0.9999760000000001,0.842364,0.839356,0.793989333336,0.6338720000060001,0.18705022547800002,0.12883829650800002,0.04699515549399999,0.012389333336000001,0.87572682029,0.91058544194,0.9075769125340001
21,10050-10099,'cars3d','dip_vae_ii',,,1.0,10.0,,,0-49,-1444.7386743164063,27.355997924806,1454.6462768554682,1417.3827465820318,37.263740768434005,0.999966,0.9999680000000001,0.8532160000000001,0.850124,0.7828320000000001,0.6257920000020001,0.174229413298,0.12492600450600001,0.045509552595999994,0.011377333330000001,0.875685981858,0.907075015862,0.903509463496
22,10100-10149,'cars3d','dip_vae_ii',,,1.0,20.0,,,0-49,-1447.002856445314,26.095921249384002,1464.0269506835962,1420.906972656254,43.120116195681994,0.9999619999999999,0.999996,0.8474260000000001,0.8456520000000001,0.735449333336,0.5995293333380001,0.20812156727600006,0.14753065444799998,0.050539063542,0.009549333332,0.883684837146,0.9033353061620002,0.8992210348240001
23,10150-10199,'cars3d','dip_vae_ii',,,1.0,50.0,,,0-49,-1455.193203124998,24.064287910457995,1486.571545410158,1431.1289355468823,55.44269554138401,0.9999720000000001,0.999984,0.8222839999999999,0.8204680000000002,0.805098000004,0.636229333338,0.177401702886,0.14155785241,0.044468136726,0.01065066666,0.8762103445040001,0.900918177558,0.896203024036
24,10200-10249,'cars3d','beta_tc_vae',,,,,1.0,,0-49,-1441.561274414064,30.776420364378,1441.561274414064,1410.78473632812,30.776420364378,0.999882,0.9998599999999999,0.8198219999999999,0.818212,0.877556666662,0.6782560000019999,0.14814084295200003,0.10066001871,0.04388438827200001,0.012450666665999999,0.8426196250260002,0.92057961178,0.918626567862
25,10250-10299,'cars3d','beta_tc_vae',,,,,2.0,,0-49,-1442.317397460934,26.5165327835,1425.04462890625,1415.800588378902,9.243582000735998,0.9999899999999999,0.9999720000000001,0.8727700000000002,0.8691159999999999,0.7872380000020002,0.646784000002,0.22185367164599998,0.146738530514,0.07430210943,0.011938666663999998,0.8938261890939999,0.9187343267820001,0.9172498023260001
26,10300-10349,'cars3d','beta_tc_vae',,,,,4.0,,0-49,-1450.4567749023356,21.282629508976,1383.9363403320403,1429.1740380859337,-45.23772087097599,0.9999979999999999,0.999996,0.923358,0.9200760000000001,0.66613266666,0.5918373333300001,0.332605139132,0.21396201300399997,0.11547810979600001,0.014377333334000002,0.9228118578540001,0.9109329463500001,0.909233679388
27,10350-10399,'cars3d','beta_tc_vae',,,,,6.0,,0-49,-1460.2987646484357,18.147919235230002,1334.007448730474,1442.1508520507757,-108.14323196411002,1.0,1.0,0.9256759999999999,0.9215959999999999,0.645355999998,0.586549333336,0.3826745442519999,0.26177303561,0.13075368557399997,0.014616000002000003,0.923376553708,0.8978243853819999,0.8943545406320002
28,10400-10449,'cars3d','beta_tc_vae',,,,,8.0,,0-49,-1470.4586962890642,16.179165897362,1280.208496093754,1454.279614257816,-174.07121826171797,1.0,1.0,0.9092919999999998,0.9048280000000001,0.62485866667,0.577956,0.42428275485999994,0.301942203704,0.133817983196,0.015009333338000001,0.91306616121,0.888272955848,0.8836983538159999
29,10450-10499,'cars3d','beta_tc_vae',,,,,10.0,,0-49,-1480.3607617187479,14.867918949124,1224.358879394528,1465.4928149414077,-241.13389892578002,1.0,1.0,0.9032680000000001,0.8991640000000001,0.6391526666640001,0.591269333334,0.426925931168,0.319470995738,0.15454219715599998,0.017211999999999998,0.9016863337400001,0.8846261645720003,0.879992200038
30,10500-10549,'cars3d','annealed_vae',,,,,,5.0,0-49,-1749.7585571289,4.998755655286001,1770.8396533203102,1744.7598266601583,26.079756259918,0.9991100000000002,0.998936,0.7448220000000001,0.7458680000000001,0.8319840000020001,0.615651999996,0.145309673006,0.17943581607199996,0.075713990938,0.015412000002,0.8525399747460001,0.8671366166780001,0.8593502482679999
31,10550-10599,'cars3d','annealed_vae',,,,,,10.0,0-49,-1585.5728808593717,9.990490226741999,1623.3831787109382,1575.5825439453079,47.800915851596,0.999988,0.9999600000000001,0.8161919999999999,0.8154640000000002,0.87055133334,0.6528306666719998,0.182696985234,0.20008788119600002,0.07732624948200001,0.012878666666,0.884800516064,0.875510896542,0.8682644958200001
32,10600-10649,'cars3d','annealed_vae',,,,,,25.0,0-49,-1506.0052148437558,24.995850067137994,1555.9470678710923,1481.009416503908,74.93774709701401,0.9999899999999999,0.999916,0.8486460000000001,0.8497600000000002,0.8831013333380001,0.66719066666,0.18460973960600005,0.171471854306,0.069930855528,0.010534666670000001,0.8846111768420001,0.8857328695919999,0.878939310158
33,10650-10699,'cars3d','annealed_vae',,,,,,50.0,0-49,-1538.9157080078119,50.00727798461801,1591.8596069335981,1488.908471679684,102.951189002986,0.9999180000000001,0.9998440000000001,0.8353999999999999,0.8359560000000001,0.8721393333319999,0.6523026666639999,0.153947865352,0.135717869396,0.058401884178000005,0.009332000004,0.8652779808839999,0.8877716968899999,0.8811695800800001
34,10700-10749,'cars3d','annealed_vae',,,,,,75.0,0-49,-1570.39591796875,74.953462829592,1682.8392089843758,1495.4426733398461,187.396637496942,0.9997579999999999,0.9997240000000001,0.799196,0.798352,0.8742593333340001,0.649541333338,0.143569141658,0.128284498858,0.047250524724,0.009276000000000001,0.858095490854,0.8906561424520001,0.8842056194340002
35,10750-10799,'cars3d','annealed_vae',,,,,,100.0,0-49,-1608.4167089843738,99.891958465572,1786.501921386718,1508.524672851562,277.97702476501604,0.9994200000000002,0.9994120000000001,0.7886299999999999,0.7863800000000001,0.8708966666619999,0.643838666668,0.13406626301799998,0.11510840481599999,0.044988013094,0.009055999997999999,0.849946773048,0.89306539557,0.8867952643980002
