,model_num,dataset,model_name,vae_beta,factor_vae_gamma,dip_vae_lambda_d_factor,dip_vae_lambda_od,beta_tc_vae_beta,annealed_vae_c_max,model_random_seed,elbo,kl_loss,loss,reconstruction_loss,regularizer,beta_vae_train_accuracy,beta_vae_eval_accuracy,factor_vae_train_accuracy,factor_vae_eval_accuracy,dci_informativeness_train,dci_informativeness_test,dci_disentanglement,dci_completeness,mig_discrete_mig,sap_score,modularity_score,modularity_explicitness_score_train,modularity_explicitness_score_test
26,8500-8549,'smallnorb','beta_tc_vae',,,,,4.0,,0-49,-1977.3814111328095,6.538871583940002,1871.44442382812,1970.842526855468,-99.39807586670202,0.7932680000000001,0.794856,0.566268,0.567644,0.7725700000000001,0.6506440000000001,0.314208230914,0.41277276362800003,0.22350424681199998,0.089518,0.8626288947079999,0.7793025832159999,0.778528234356
27,8550-8599,'smallnorb','beta_tc_vae',,,,,6.0,,0-49,-1981.8118505859422,5.3722207546280005,1800.5260522460862,1976.4395898437463,-175.913472290044,0.7498840000000001,0.7512719999999998,0.529798,0.529104,0.741095,0.6098330000000001,0.291076971144,0.388227574944,0.20298571820400002,0.097951,0.8887719361439999,0.7620531786079999,0.760074028164
28,8600-8649,'smallnorb','beta_tc_vae',,,,,8.0,,0-49,-1984.489384765618,4.792637958529999,1727.77060791015,1979.6966967773378,-251.92632843017404,0.7265679999999999,0.733828,0.47531000000000007,0.4745000000000001,0.7159165000000001,0.576634,0.275273807406,0.37118857179000003,0.17720327968799998,0.09267399999999998,0.8904970532119999,0.7478646600600001,0.7454857479899999
29,8650-8699,'smallnorb','beta_tc_vae',,,,,10.0,,0-49,-1985.8591381835897,4.536019077302,1654.3355615234418,1981.3231713867176,-326.987299804678,0.7255640000000001,0.7333280000000001,0.458514,0.4564240000000001,0.7082590000000001,0.565817,0.272054797896,0.36489286372400004,0.16982087102799998,0.09181500000000002,0.884614854842,0.7466544321080001,0.744194184058
30,8700-8749,'smallnorb','annealed_vae',,,,,,5.0,0-49,-1994.755053710934,5.00121581078,1995.9341064453058,1989.753916015622,6.180457940104,0.55066,0.54972,0.32647,0.32863200000000004,0.677478,0.529703,0.10871818229800001,0.144217369506,0.09086549417600001,0.06782800000000001,0.9839018960319998,0.744364964498,0.7420630815720002
31,8750-8799,'smallnorb','annealed_vae',,,,,,10.0,0-49,-2000.8765039062523,9.999127483374,2000.1347338867145,1990.8774487304638,9.257473127842,0.55428,0.5534920000000001,0.335174,0.33724,0.6824505,0.5356730000000001,0.11027092432400001,0.131598843774,0.077818655188,0.063642,0.984868806838,0.749302380408,0.74752575659
32,8800-8849,'smallnorb','annealed_vae',,,,,,25.0,0-49,-2010.558913574226,25.005375518799998,2012.198154296868,1985.553469238284,26.644556713112003,0.6057700000000001,0.6081399999999999,0.45596200000000003,0.456312,0.6836915,0.537391,0.147870545356,0.13630471632799998,0.063390286572,0.064124,0.9521301467880001,0.7648967486680001,0.7636470714800001
33,8850-8899,'smallnorb','annealed_vae',,,,,,50.0,0-49,-2035.873520507808,50.005109710696,2047.5526660156238,1985.8683374023499,61.68460806846801,0.6019720000000001,0.602696,0.49745200000000006,0.49927999999999995,0.6722024999999999,0.5253920000000001,0.155189986144,0.147488326674,0.032370706274,0.032446,0.9535663036220001,0.7593221631380002,0.7583516587140001
34,8900-8949,'smallnorb','annealed_vae',,,,,,75.0,0-49,-2063.6640917968803,74.99446456908402,2095.054199218746,1988.6693701171898,106.38478935242202,0.584678,0.5848840000000001,0.4841520000000001,0.4859960000000001,0.65744,0.5112720000000001,0.151080385904,0.14751825345000003,0.020751373222000002,0.028159,0.9654550517479998,0.747777753186,0.7469584182100002
35,8950-8999,'smallnorb','annealed_vae',,,,,,100.0,0-49,-2089.068686523442,99.992459716802,2137.886791992186,1989.076052246092,148.810816917424,0.58115,0.580576,0.479112,0.48100000000000004,0.6609895,0.5135460000000001,0.15685324696600003,0.150968789414,0.025715108701999997,0.024929,0.9590991632060001,0.7520365455699999,0.751108905592
