,model_num,dataset,model_name,vae_beta,factor_vae_gamma,dip_vae_lambda_d_factor,dip_vae_lambda_od,beta_tc_vae_beta,beta_tc_vae_c_max,model_random_seed,elbo,kl_loss,loss,reconstruction_loss,regularizer,beta_vae_train_accuracy,beta_vae_eval_accuracy,factor_vae_train_accuracy,factor_vae_eval_accuracy,dci_informativeness_train,dci_informativeness_test,dci_disentanglement,dci_completeness,mig_discrete_mig,sap_score,modularity_score,modularity_explicitness_score_train,modularity_explicitness_score_test
352,352,'dsprites_full','factor_vae',,20.0,,,,,2,,18.6573734283,76.9000778198,52.594619751,24.3054580688,0.851,0.8498,0.6767000000000001,0.6812,0.7311000000000001,0.40968000000000004,0.22439562000000002,0.2618679429,0.14166399600000001,0.07244,0.7922740497,0.7662558338000001,0.7526666350000001
353,353,'dsprites_full','factor_vae',,20.0,,,,,3,,18.3961658478,74.406578064,49.3538856506,25.0526924133,0.861,0.8614,0.7506,0.7432000000000001,0.7796400000000001,0.49924,0.2838789587,0.3105961812,0.1588559285,0.0648,0.818630398,0.7876487555,0.7755765059
354,354,'dsprites_full','factor_vae',,20.0,,,,,4,,18.6314716339,80.3958740234,51.5573234558,28.8385486603,0.7931,0.7866000000000001,0.56,0.5648000000000001,0.74382,0.43124,0.1978351237,0.2258301375,0.11044556180000001,0.06228,0.7504850286,0.7525488917,0.7384630344
355,355,'dsprites_full','factor_vae',,20.0,,,,,5,,18.0018520355,78.1269989014,54.0837478638,24.0433254242,0.8565,0.855,0.7963,0.7962,0.7701800000000001,0.45548000000000005,0.2691640147,0.3024504331,0.18616445180000002,0.054400000000000004,0.7649453912,0.7761590328,0.7660598357
356,356,'dsprites_full','factor_vae',,20.0,,,,,6,,18.9958114624,79.562171936,50.7251052856,28.8370780945,0.8587,0.8612000000000001,0.7447,0.7504000000000001,0.7666200000000001,0.46896000000000004,0.2804837322,0.2840983676,0.1281580631,0.0748,0.8139140148,0.7823087701,0.7723695461000001
357,357,'dsprites_full','factor_vae',,20.0,,,,,7,,18.4060783386,76.3276901245,48.5037231445,27.824010849,0.8616,0.8612000000000001,0.7154,0.7192000000000001,0.7716200000000001,0.45924000000000004,0.2150998644,0.2491026051,0.1343567765,0.07136,0.8038170142000001,0.7709100426000001,0.760696557
358,358,'dsprites_full','factor_vae',,20.0,,,,,8,,18.6204681396,77.6284637451,50.320980072,27.3074760437,0.86,0.8556,0.6984,0.6962,0.76888,0.46248000000000006,0.2683066534,0.2846660883,0.1386414295,0.06932,0.8170963401,0.7718878597000001,0.7592956086
359,359,'dsprites_full','factor_vae',,20.0,,,,,9,,18.7505435944,77.4280853271,49.3653411865,28.0627403259,0.8567,0.8606,0.6892,0.6942,0.7517800000000001,0.44576000000000005,0.2342453237,0.2576734297,0.1224534859,0.06972,0.8107135647,0.7775404692,0.7681203875
360,360,'dsprites_full','factor_vae',,20.0,,,,,10,,17.9477176666,69.7993621826,47.9065971375,21.8927726746,0.87,0.8682000000000001,0.808,0.8048000000000001,0.7839,0.48612000000000005,0.31996813890000003,0.3296395501,0.2455024277,0.07448,0.8372520419,0.7797740449,0.7691810852000001
361,361,'dsprites_full','factor_vae',,20.0,,,,,11,,18.4925079346,79.6556777954,52.189704895,27.4659786224,0.8347,0.8328,0.649,0.6428,0.7317400000000001,0.40348,0.17759258660000002,0.2033750184,0.0960387421,0.05716,0.7907603861,0.765218766,0.7563186723
362,362,'dsprites_full','factor_vae',,20.0,,,,,12,,18.018825531,76.3338775635,53.1152648926,23.2186222076,0.8559,0.8552000000000001,0.7539,0.748,0.7515000000000001,0.44468,0.24872669300000003,0.2867792615,0.18136686200000002,0.062240000000000004,0.8024705581,0.7754559520000001,0.7615866257
363,363,'dsprites_full','factor_vae',,20.0,,,,,13,,18.7075805664,77.7683563232,50.9727783203,26.7955684662,0.8576,0.8578,0.7817000000000001,0.7834,0.75878,0.45184,0.2726909605,0.2970554677,0.1728042471,0.06692000000000001,0.8226159596,0.7724818275,0.7604363889
364,364,'dsprites_full','factor_vae',,20.0,,,,,14,,18.2857780457,80.4880447388,53.2761917114,27.2119121552,0.8634000000000001,0.8654000000000001,0.7612,0.756,0.7512200000000001,0.42116000000000003,0.2430464374,0.2722254494,0.16962724810000002,0.06304,0.8027804444000001,0.7750958651000001,0.7632580627000001
365,365,'dsprites_full','factor_vae',,20.0,,,,,15,,18.301317215,76.8116455078,51.8057518005,25.005865097,0.8684000000000001,0.8634000000000001,0.7717,0.77,0.76236,0.4504,0.265826357,0.2875514491,0.1819024804,0.07076,0.8344072784000001,0.7854561215,0.7745940309
