,model_num,dataset,model_name,vae_beta,factor_vae_gamma,dip_vae_lambda_d_factor,dip_vae_lambda_od,beta_tc_vae_beta,annealed_vae_c_max,model_random_seed,elbo,kl_loss,loss,reconstruction_loss,regularizer,beta_vae_train_accuracy,beta_vae_eval_accuracy,factor_vae_train_accuracy,factor_vae_eval_accuracy,dci_informativeness_train,dci_informativeness_test,dci_disentanglement,dci_completeness,mig_discrete_mig,sap_score,modularity_score,modularity_explicitness_score_train,modularity_explicitness_score_test
21,2850-2899,'color_dsprites','dip_vae_ii',,,1.0,10.0,,,0-49,-342.96651855468605,29.520673980714,352.75361389160406,313.44591003418805,39.307730712898,0.8022199999999999,0.7921200000000002,0.55274,0.55364,0.7460208000000002,0.3747008000000001,0.115428079662,0.12063442117399999,0.057280847924,0.03282,0.8466731686679999,0.7882050422620002,0.778734126326
22,2900-2949,'color_dsprites','dip_vae_ii',,,1.0,20.0,,,0-49,-346.16353149414795,26.215258941646006,359.525103759764,319.948291625974,39.576817626953996,0.80914,0.801944,0.5771200000000001,0.5735560000000001,0.7492196000000001,0.3803864,0.10949664502399999,0.12869566383400002,0.05859910915800001,0.030762400000000002,0.8378800777640001,0.7974267716039999,0.789300103878
23,2950-2999,'color_dsprites','dip_vae_ii',,,1.0,50.0,,,0-49,-350.0777770996101,23.943835525510003,373.0672430419899,326.13390502929195,46.93333534240801,0.8179320000000001,0.81002,0.5534060000000001,0.5513920000000001,0.7385124000000001,0.3713984000000001,0.10156141555200002,0.12750314770600002,0.054025434304,0.027895200000000005,0.8475058294320001,0.804076469692,0.7962414430320002
24,3000-3049,'color_dsprites','beta_tc_vae',,,,,1.0,,0-49,-341.21686645508606,32.407673492436004,341.21686645508606,308.80918579101603,32.407673492436004,0.81828,0.80966,0.612048,0.613024,0.7370960000000001,0.37427999999999995,0.13812390288200002,0.141089493182,0.06605521045599999,0.039676800000000005,0.8112206656140001,0.786685166298,0.777178811914
25,3050-3099,'color_dsprites','beta_tc_vae',,,,,2.0,,0-49,-342.424483032228,27.072737503056,325.04327697754405,315.351718749998,9.691506576538,0.8360820000000001,0.8314919999999999,0.68148,0.68156,0.7719852,0.4349808,0.211725574184,0.20104353069799996,0.09959382659200001,0.05050639999999999,0.849736275728,0.7886024763320001,0.7805733389739999
26,3100-3149,'color_dsprites','beta_tc_vae',,,,,4.0,,0-49,-351.641155395508,20.745243644718002,282.037925415038,330.89588317871596,-48.857980041498,0.864994,0.8611280000000001,0.7564359999999999,0.7537600000000002,0.8214776,0.5208112,0.278674342222,0.27228789655,0.14836095392600002,0.05886480000000001,0.88392933213,0.796057240388,0.7884892866840001
27,3150-3199,'color_dsprites','beta_tc_vae',,,,,6.0,,0-49,-363.70198059081997,17.472345695498,232.47126983642804,346.229616088866,-113.758354187014,0.8693500000000002,0.8650080000000001,0.7680020000000001,0.763572,0.8346456000000001,0.556388,0.30954792092800004,0.31810791691400003,0.17721178991400002,0.061798399999999996,0.8824633028580001,0.797482114812,0.7902548788039999
28,3200-3249,'color_dsprites','beta_tc_vae',,,,,8.0,,0-49,-374.45096679687407,15.34455640793,176.89941497802803,359.10645446778005,-182.20699829101397,0.869134,0.865224,0.7892199999999999,0.7870320000000001,0.8384003999999998,0.5820960000000001,0.3400636971020001,0.35164302647799994,0.183469575582,0.05961760000000001,0.8759304376479998,0.7994570373480001,0.792344181548
29,3250-3299,'color_dsprites','beta_tc_vae',,,,,10.0,,0-49,-386.7982153320359,13.650174636844001,119.913805236816,373.148037109378,-253.23424926757605,0.8634460000000002,0.8578800000000001,0.773456,0.7713760000000001,0.8364512000000001,0.5870088,0.351860186808,0.367742124614,0.18178072547400004,0.0627144,0.868264793586,0.7987187181180001,0.7916533245520001
30,3300-3349,'color_dsprites','annealed_vae',,,,,,5.0,0-49,-543.940394287102,5.004142045976,554.0592517089821,538.936241455082,15.123026819226,0.868554,0.8647159999999999,0.6057,0.5992000000000001,0.7397096000000001,0.510772,0.42864512904,0.525425735596,0.36292344563,0.07409920000000002,0.8005737150419999,0.7608266041839999,0.7487265278779998
